"","PLACE","TOT_POP","PCT_U18","PC_18_65","PCT_O65","MALE_FEM"
"396","Manhasset Hills CDP                                                                   ",3722,21,64.3,14.8,92.9
"397","Manlius village                                                                       ",4764,25.4,61.9,12.7,84.6
"398","Manorhaven village                                                                    ",5672,19.1,70.8,10,95.4
"399","Manorville CDP                                                                        ",6198,26.3,60.4,13.3,99.1
"400","Marathon village                                                                      ",1107,31.2,56.5,12.4,88.6
"401","Marcellus village                                                                     ",1840,26,58.6,15.4,85.1
"402","Marlboro CDP                                                                          ",2200,23,62.9,14.1,98.6
"403","Massapequa CDP                                                                        ",22018,22.2,65.5,12.3,92.4
"404","Massapequa Park village                                                               ",18044,21.9,65.3,12.9,93
"405","Massena village                                                                       ",11719,25.2,57.4,17.4,81
"406","Mastic CDP                                                                            ",13778,35.2,59.3,5.6,93.8
"407","Mastic Beach CDP                                                                      ",10293,31.3,58.6,10.1,94.7
"408","Mattituck CDP                                                                         ",3902,23.6,57.1,19.3,86
"409","Mattydale CDP                                                                         ",6418,22.5,60,17.5,83.8
"410","Maybrook village                                                                      ",2802,31.3,60,8.7,94.8
"411","Mayville village                                                                      ",1636,23.8,61.9,14.3,99.2
"412","Mechanicville city                                                                    ",5249,22.5,56.6,20.8,80
"413","Medford CDP                                                                           ",21274,30.2,63.4,6.4,93.9
"414","Medina village                                                                        ",6686,27.4,55.1,17.5,78.4
"415","Melrose Park CDP                                                                      ",2091,23.1,57.5,19.4,86
"416","Melville CDP                                                                          ",12586,24.8,67.2,8,96.9
"417","Menands village                                                                       ",4333,14.4,64,21.6,78.8
"418","Merrick CDP                                                                           ",23042,24.2,65,10.7,92.8
"419","Mexico village                                                                        ",1555,27.5,58.5,14.1,86.8
"420","Middleburgh village                                                                   ",1436,25.1,56.2,18.7,80.7
"421","Middle Island CDP                                                                     ",7848,25.3,63.4,11.3,91.6
"422","Middleport village                                                                    ",1876,26.5,57.7,15.8,85.8
"423","Middletown city                                                                       ",24160,26.1,59.8,14.2,87.6
"424","Millbrook village                                                                     ",1339,19.9,58,22,79.6
"425","Miller Place CDP                                                                      ",9315,30.3,62.8,6.9,95.7
"426","Milton CDP                                                                            ",1892,26.5,67.5,6,101.6
"427","Milton CDP                                                                            ",1140,25.8,59.7,14.5,101
"428","Mineola village                                                                       ",18994,18.6,64.8,16.6,90.5
"429","Minetto CDP                                                                           ",1252,31,57.9,11.1,91.2
"430","Mineville-Witherbee CDP                                                               ",1740,25,61.6,13.4,123.5
"431","Minoa village                                                                         ",3745,29.3,58.1,12.6,84.9
"432","Mohawk village                                                                        ",2986,22.6,59.2,18.1,77.6
"433","Monroe village                                                                        ",6672,27.7,62.7,9.6,92
"434","Monsey CDP                                                                            ",13986,49.3,44.2,6.5,99.7
"435","Montauk CDP                                                                           ",3001,18.1,65.4,16.5,100.2
"436","Montebello village                                                                    ",2950,26.1,66.7,7.2,91.5
"437","Montgomery village                                                                    ",2696,29.3,60.6,10.1,92.2
"438","Monticello village                                                                    ",6597,25.7,59,15.2,97.6
"439","Montour Falls village                                                                 ",1845,21.8,50.9,27.3,70.2
"440","Moravia village                                                                       ",1559,27.3,53.2,19.5,76.2
"441","Morrisonville CDP                                                                     ",1742,27.1,62.7,10.2,88.4
"442","Morrisville village                                                                   ",2732,7.7,88.1,4.2,129.3
"443","Mount Ivy CDP                                                                         ",6013,21.8,70.6,7.6,91.7
"444","Mount Kisco village                                                                   ",9108,19.1,68.4,12.5,86.9
"445","Mount Morris village                                                                  ",3102,23.6,58.4,17.9,80.2
"446","Mount Sinai CDP                                                                       ",8023,31.2,60.5,8.4,94.8
"447","Mount Vernon city                                                                     ",67153,23.2,62,14.9,77.7
"448","Munsey Park village                                                                   ",2692,27.9,59.7,12.4,89
"449","Munsons Corners CDP                                                                   ",2436,22.6,63.2,14.2,84.9
"450","Muttontown village                                                                    ",3024,26.4,64.1,9.6,93.3
"451","Myers Corner CDP                                                                      ",5599,28.3,65.4,6.3,97.8
"452","Nanuet CDP                                                                            ",14065,22.7,63.2,14.1,84
"453","Napanoch CDP                                                                          ",1068,23.2,60.4,16.4,91.6
"454","Naples village                                                                        ",1237,27.2,56.3,16.5,81.5
"455","Nassau village                                                                        ",1254,26.1,59.4,14.5,91.9
"456","Nesconset CDP                                                                         ",10712,26.6,65.8,7.6,92.7
"457","Newark village                                                                        ",9849,25.4,57.9,16.7,82.4
"458","Newark Valley village                                                                 ",1082,28.7,56.5,14.9,91.6
"459","New Berlin village                                                                    ",1220,21.6,52.4,26.1,69.7
"460","Newburgh city                                                                         ",26454,30.5,58.8,10.7,81.4
"461","New Cassel CDP                                                                        ",10257,26.5,65,8.5,92.5
"462","New City CDP                                                                          ",33673,25.2,67.7,7.1,95.7
"463","Newfane CDP                                                                           ",3001,25,56.3,18.7,84.4
"464","New Hartford village                                                                  ",2111,23.7,55.1,21.2,74.5
"465","New Hempstead village                                                                 ",4200,24,63.3,12.8,85.7
"466","New Hyde Park village                                                                 ",9728,19.4,60.8,19.7,91.1
"467","New Paltz village                                                                     ",5463,9.3,84.7,6,75.8
"468","New Rochelle city                                                                     ",67265,20.3,62.4,17.3,83.9
"469","New Square village                                                                    ",2605,60.7,35.5,3.8,97.9
"470","New Windsor CDP                                                                       ",8898,24.6,60.6,14.8,89.3
"471","New York city                                                                         ",7322564,23,63.9,13,84.5
"472","New York Mills village                                                                ",3534,17.4,56.4,26.2,74.4
"473","Niagara Falls city                                                                    ",61840,23.9,57,19.2,82.1
"474","Niskayuna CDP                                                                         ",4942,24.2,58.3,17.5,87.3
"475","Nissequogue village                                                                   ",1620,21.2,70.2,8.5,104.5
"476","Niverville CDP                                                                        ",1809,28.5,61.1,10.4,95.8
"477","Norfolk CDP                                                                           ",1412,26.2,60.6,13.2,88.1
"478","North Amityville CDP                                                                  ",13849,27.7,61.4,11,78.4
"479","North Babylon CDP                                                                     ",18081,21.8,66.8,11.5,93.2
"480","North Ballston Spa CDP                                                                ",1362,25.8,63.4,10.7,103.2
"481","North Bay Shore CDP                                                                   ",12799,27.1,67.2,5.8,98.2
"482","North Bellmore CDP                                                                    ",19707,22.6,64.3,13.1,93
"483","North Bellport CDP                                                                    ",8182,38,56.6,5.4,90
"484","North Boston CDP                                                                      ",2581,23.7,65.7,10.5,96.1
"485","North Collins village                                                                 ",1335,29.6,58.8,11.6,81.1
"486","Northeast Ithaca CDP                                                                  ",2533,26.5,63.6,9.9,93.2
"487","North Great River CDP                                                                 ",3964,26.8,67.1,6.2,95.9
"488","North Hills village                                                                   ",3453,15.1,67.1,17.8,93
"489","North Lindenhurst CDP                                                                 ",10563,23.2,66.8,9.9,95.2
"490","North Massapequa CDP                                                                  ",19365,21,65.9,13.1,93.4
"491","North Merrick CDP                                                                     ",12113,23,63.3,13.7,90.9
"492","North New Hyde Park CDP                                                               ",14359,18.9,59.9,21.1,88.9
"493","North Patchogue CDP                                                                   ",7374,25.8,64.8,9.3,95.1
"494","Northport village                                                                     ",7572,21.5,67,11.5,91.2
"495","North Sea CDP                                                                         ",2530,19.5,61.5,19.1,91.4
"496","North Syracuse village                                                                ",7363,22.6,62.7,14.7,91.3
"497","North Tarrytown village                                                               ",8152,21.8,65.8,12.5,93.2
"498","North Tonawanda city                                                                  ",34989,24.9,60.6,14.5,88.2
"499","North Valley Stream CDP                                                               ",14574,22,61.1,16.9,88.3
"500","Northville village                                                                    ",1180,25.8,57.5,16.8,83.3
"501","North Wantagh CDP                                                                     ",12276,21.3,64.2,14.5,92
"502","Northwest Harbor CDP                                                                  ",2167,24.5,62.9,12.6,98.8
"503","Northwest Ithaca CDP                                                                  ",1144,13.7,52.8,33.5,72.3
"504","Norwich city                                                                          ",7613,25.2,54.5,20.3,73.7
"505","Norwood village                                                                       ",1841,28.8,57.8,13.3,88.2
"506","Noyack CDP                                                                            ",2059,17.6,56.8,25.6,88.1
"507","Nunda village                                                                         ",1347,28.3,56.4,15.3,81.9
"508","Nyack village                                                                         ",6558,19.2,67.2,13.6,82.8
"509","Oakdale CDP                                                                           ",7875,22.3,68.7,9,92.5
"510","Oakfield village                                                                      ",1818,28.3,58,13.6,84.8
"511","Oceanside CDP                                                                         ",32423,22.1,65,12.9,91.6
"512","Ogdensburg city                                                                       ",13521,23.3,62.1,14.6,117.5
"513","Olcott CDP                                                                            ",1432,25.1,60.5,14.5,105.2
"514","Old Bethpage CDP                                                                      ",5610,21.4,66.6,12,98.2
"515","Old Brookville village                                                                ",1823,20.8,64.3,14.9,95.9
"516","Old Westbury village                                                                  ",3897,19.3,71.3,9.4,84.4
"517","Olean city                                                                            ",16946,26.3,56.1,17.6,79.6
"518","Oneida city                                                                           ",10850,25.7,58.1,16.2,81.2
"519","Oneonta city                                                                          ",13954,12.6,74.8,12.6,72.6
"520","Orangeburg CDP                                                                        ",3583,17.2,63.4,19.4,79.6
"521","Orange Lake CDP                                                                       ",5196,24.1,63.5,12.3,90
"522","Orchard Park village                                                                  ",3280,19.8,59.3,20.9,86
"523","Oriskany village                                                                      ",1450,25.4,56,18.6,72.8
"524","Ossining village                                                                      ",22582,19,69.4,11.6,113.7
"525","Oswego city                                                                           ",19195,22.5,60.6,16.8,84.6
"526","Otego village                                                                         ",1068,26.9,57.9,15.3,81.2
"527","Otisville village                                                                     ",1078,32.6,56.1,11.3,88.8
"528","Owego village                                                                         ",4442,26.2,58.3,15.4,83.4
"529","Oxford village                                                                        ",1738,28.4,55.9,15.7,88.2
"530","Oyster Bay CDP                                                                        ",6687,18.9,66.3,14.8,92.2
"531","Oyster Bay Cove village                                                               ",2109,26.9,64,9.2,89
"532","Painted Post village                                                                  ",1950,22.7,55.2,22.1,76.5
"533","Palmyra village                                                                       ",3566,25.9,58.2,16,85.5
"534","Patchogue village                                                                     ",11060,21.5,64.6,13.9,93.8
"535","Pawling village                                                                       ",1974,22.4,56.6,21,78.8
"536","Peach Lake CDP                                                                        ",1499,25.4,59.9,14.7,90
"537","Pearl River CDP                                                                       ",15314,21.3,65.4,13.2,90.9
"538","Peconic CDP                                                                           ",1100,23.5,58,18.5,89.6
"539","Peekskill city                                                                        ",19536,23,64,13,87
"540","Pelham village                                                                        ",6413,22.1,64.2,13.7,85.7
"541","Pelham Manor village                                                                  ",5443,22.4,63.6,14,92.5
"542","Penn Yan village                                                                      ",5248,24.1,56,19.9,79.8
"543","Perry village                                                                         ",4219,27.7,57,15.4,84.2
"544","Peru CDP                                                                              ",1565,27.5,60.1,12.4,91.9
"545","Phelps village                                                                        ",1978,26.3,58.4,15.3,87.9
"546","Philadelphia village                                                                  ",1478,36.1,55.7,8.3,88.2
"547","Philmont village                                                                      ",1623,26.7,55.2,18.1,78.5
"548","Phoenix village                                                                       ",2435,27.6,59.3,13.1,84.5
"549","Piermont village                                                                      ",2163,17.3,71.8,10.9,103.5
"550","Pine Bush CDP                                                                         ",1445,26,60,14,84.3
"551","Pine Plains CDP                                                                       ",1312,25.6,58.8,15.5,87.7
"552","Pine Valley village                                                                   ",1486,17.1,77.9,5,178.1
"553","Pittsford village                                                                     ",1488,20.6,63.1,16.3,90.5
"554","Plainedge CDP                                                                         ",8739,21.2,64.6,14.1,93.3
"555","Plainview CDP                                                                         ",26207,22.9,63.9,13.2,92.4
"556","Plandome village                                                                      ",1347,27.9,61.7,10.4,95.8
"557","Plattsburgh city                                                                      ",21255,18.3,68.6,13.1,80.2
"558","Plattsburgh AFB CDP                                                                   ",5483,34.4,65.4,0.1,152.5
"559","Plattsburgh West CDP                                                                  ",1274,29.2,65.7,5.1,102.2
"560","Pleasant Valley CDP                                                                   ",1688,23,66,11,94.9
"561","Pleasantville village                                                                 ",6592,22.4,64.9,12.7,87.1
"562","Poestenkill CDP                                                                       ",1000,23.2,64.4,12.4,100.5
"563","Pomona village                                                                        ",2611,27.7,67.6,4.7,96.5
"564","Port Byron village                                                                    ",1359,28.9,58.9,12.1,89
"565","Port Chester village                                                                  ",24728,20,64.9,15.1,92.7
"566","Port Dickinson village                                                                ",1785,22.6,58.2,19.2,77.5
"567","Port Ewen CDP                                                                         ",3444,24.3,63.6,12.1,95.1
"568","Port Henry village                                                                    ",1263,23.4,56,20.7,81.3
"569","Port Jefferson village                                                                ",7455,21.5,64.7,13.8,90
"570","Port Jefferson Station CDP                                                            ",7232,22.7,65.8,11.5,91.9
"571","Port Jervis city                                                                      ",9060,27.1,57.3,15.6,85.3
"572","Portville village                                                                     ",1040,29.6,55.6,14.8,83
"573","Port Washington CDP                                                                   ",15387,21.9,63.8,14.3,89.1
"574","Port Washington North village                                                         ",2736,19.7,69.7,10.6,94.6
"575","Potsdam village                                                                       ",10251,10.8,80.7,8.5,116.5
"576","Poughkeepsie city                                                                     ",28844,23.3,60.8,15.8,85.1
"577","Pulaski village                                                                       ",2525,26.3,56.4,17.3,78.4
"578","Putnam Lake CDP                                                                       ",3459,29.4,60.3,10.3,97.3
"579","Randolph village                                                                      ",1298,26,53.2,20.8,86.8
"580","Ransomville CDP                                                                       ",1542,27.2,56.7,16.1,96.8
"581","Rapids CDP                                                                            ",1152,26.3,64.6,9.1,95.6
"582","Ravena village                                                                        ",3547,25.1,60.4,14.5,86.6
"583","Red Hook village                                                                      ",1794,23.2,59.6,17.2,83.5
"584","Red Oaks Mill CDP                                                                     ",4906,26.1,65.7,8.3,100.1
"585","Remsenburg-Speonk CDP                                                                 ",1851,21.6,63.2,15.2,96
"586","Rensselaer city                                                                       ",8255,23.7,60.6,15.7,82.6
"587","Rhinebeck village                                                                     ",2725,18.7,55.9,25.4,78.2
"588","Richfield Springs village                                                             ",1565,28.9,53,18,81.1
"589","Ridge CDP                                                                             ",11734,23.3,44.8,31.9,75.9
"590","Ripley CDP                                                                            ",1189,31.2,54.9,13.9,90.7
"591","Riverhead CDP                                                                         ",8814,23.2,56.1,20.7,78.7
"592","Riverside CDP                                                                         ",1300,15.4,44.5,40.1,68.5
"593","Rochester city                                                                        ",231636,26,61.9,12.1,84.7
"594","Rockville Centre village                                                              ",24727,23.4,59.1,17.5,81.7
"595","Rocky Point CDP                                                                       ",8596,27.3,60.3,12.5,90
"596","Roessleville CDP                                                                      ",10753,18.5,60.8,20.6,85.4
"597","Rome city                                                                             ",44350,24.5,61.8,13.7,108.6
"598","Ronkonkoma CDP                                                                        ",20391,26.7,66.5,6.8,94.2
"599","Roosevelt CDP                                                                         ",15030,28.7,64.6,6.7,83.2
"600","Rosendale Village CDP                                                                 ",1284,24.5,64.1,11.4,96.6
"601","Roslyn village                                                                        ",1965,16.4,68.3,15.3,89.1
"602","Roslyn Estates village                                                                ",1184,22.3,64,13.7,85.5
"603","Roslyn Harbor village                                                                 ",1114,21.1,63.6,15.4,97.1
"604","Roslyn Heights CDP                                                                    ",6405,22,58.7,19.3,86.4
"605","Rotterdam CDP                                                                         ",21228,20.7,60.4,18.9,86.9
"606","Rouses Point village                                                                  ",2377,25.4,59.5,15.1,91.3
"607","Russell Gardens village                                                               ",1027,20.7,60.6,18.7,83.7
"608","Rye city                                                                              ",14936,23.3,62.4,14.2,86.1
"609","Rye Brook village                                                                     ",7765,21.6,62.7,15.7,83.9
"610","Sackets Harbor village                                                                ",1313,24.8,64.2,11,98.2
"611","Sag Harbor village                                                                    ",2134,16.5,59.8,23.7,85.1
"612","St. Bonaventure CDP                                                                   ",2397,4.5,86.2,9.3,89
"613","St. James CDP                                                                         ",12703,22.2,60.3,17.5,81.2
"614","St. Johnsville village                                                                ",1825,24.2,50.4,25.5,80.2
"615","Salamanca city                                                                        ",6566,25.7,55.3,19,83.1
"616","Salisbury CDP                                                                         ",12226,22.5,63,14.5,90.3
"617","Sand Ridge CDP                                                                        ",1312,29.7,63.9,6.3,95.3
"618","Sands Point village                                                                   ",2477,19.8,66.5,13.7,92.5
"619","Saranac Lake village                                                                  ",5377,23.3,60.3,16.3,85.1
"620","Saratoga Springs city                                                                 ",25001,20.4,65.8,13.8,87.6
"621","Saugerties village                                                                    ",3915,22.3,60.4,17.3,82
"622","Saugerties South CDP                                                                  ",2346,25.6,63.3,11,88
"623","Sayville CDP                                                                          ",16550,24.8,64.3,10.9,91.5
"624","Scarsdale village                                                                     ",16987,28.3,60.1,11.6,88.8
"625","Schenectady city                                                                      ",65566,22.1,60.8,17.1,84.8
"626","Schoharie village                                                                     ",1045,22.3,56.5,21.2,83.3
"627","Schuylerville village                                                                 ",1364,26.5,57,16.4,88
"628","Scotchtown CDP                                                                        ",8765,30.4,63.3,6.4,94.9
"629","Scotia village                                                                        ",7359,25.2,58.7,16,80.5
"630","Scottsville village                                                                   ",1912,26,62.8,11.2,86.2
"631","Sea Cliff village                                                                     ",5054,19.1,65.4,15.5,93.2
"632","Seaford CDP                                                                           ",15597,22.6,65.3,12.1,93.9
"633","Searingtown CDP                                                                       ",5020,24.6,62.1,13.3,92.9
"634","Selden CDP                                                                            ",20608,27.5,65,7.5,92.3
"635","Seneca Falls village                                                                  ",7370,25.3,57.9,16.7,83.8
"636","Setauket-East Setauket CDP                                                            ",13634,25.7,66.7,7.6,95.2
"637","Shelter Island CDP                                                                    ",1193,19.5,57.7,22.8,90.9
"638","Shelter Island Heights CDP                                                            ",1042,13.5,51,35.5,87.3
"639","Sherburne village                                                                     ",1531,23.9,56.5,19.6,76.2
"640","Sherrill city                                                                         ",2864,26.1,56.3,17.6,84.3
"641","Shinnecock Hills CDP                                                                  ",2847,13.6,69.1,17.4,95.2
"642","Shirley CDP                                                                           ",22936,33.7,59.7,6.6,95.4
"643","Shortsville village                                                                   ",1485,26.7,60.2,13.1,93.8
"644","Sidney village                                                                        ",4720,27,54.6,18.4,82.1
"645","Silver Creek village                                                                  ",2927,26.4,56.6,17,80.7
"646","Skaneateles village                                                                   ",2724,23.1,57.4,19.5,81
"647","Sloan village                                                                         ",3830,17.3,59.2,23.5,85.2
"648","Sloatsburg village                                                                    ",3035,25,65.2,9.7,96.3
"649","Smithtown CDP                                                                         ",25638,22.2,67.2,10.6,92.2
"650","Sodus village                                                                         ",1904,30,56.4,13.6,82.7
"651","Sodus Point village                                                                   ",1190,25.3,61.9,12.8,94.5
"652","Solvay village                                                                        ",6717,20.2,58.8,21,80.7
"653","Sound Beach CDP                                                                       ",9102,28.1,62.8,9.1,92.7
"654","Southampton village                                                                   ",3980,17.5,59.1,23.4,83.2
"655","Southampton CDP                                                                       ",1302,19.7,63.6,16.7,99.4
"656","South Corning village                                                                 ",1025,22.4,59.8,17.8,87.1
"657","South Fallsburg CDP                                                                   ",2115,28.7,59.5,11.8,104.3
"658","South Farmingdale CDP                                                                 ",15377,20.5,66.7,12.7,96.4
"659","South Floral Park village                                                             ",1478,24.2,65.8,10,98.8
"660","South Glens Falls village                                                             ",3506,22.6,58.9,18.5,83.8
"661","South Hempstead CDP                                                                   ",3014,23.8,60.9,15.3,91.9
"662","South Hill CDP                                                                        ",5423,6.2,90.4,3.4,79
"663","South Huntington CDP                                                                  ",9624,20,65.3,14.7,89.8
"664","South Lockport CDP                                                                    ",7112,27.3,62.4,10.3,86.2
"665","South Nyack village                                                                   ",3352,18.5,70.7,10.8,85.4
"666","Southold CDP                                                                          ",5192,16.9,53.5,29.6,87.9
"667","Southport CDP                                                                         ",7753,23.3,58.3,18.4,83.1
"668","South Valley Stream CDP                                                               ",5328,20.8,58.9,20.3,88.1
"669","Spackenkill CDP                                                                       ",4660,25.1,64.9,10,97.4
"670","Spencerport village                                                                   ",3606,25.5,62.8,11.7,87.4
"671","Springs CDP                                                                           ",4355,21.4,63.6,14.9,95.3
"672","Spring Valley village                                                                 ",21802,29.1,62,8.9,86.9
"673","Springville village                                                                   ",4310,25.5,55.9,18.6,82.3
"674","Stamford village                                                                      ",1211,27.2,54,18.8,83.8
"675","Stannards CDP                                                                         ",1028,29,58.6,12.5,92.1
"676","Star Lake CDP                                                                         ",1092,29.7,58.5,11.8,96.4
"677","Stewart Manor village                                                                 ",2002,23.6,62,14.4,84.7
"678","Stillwater village                                                                    ",1531,27,59.5,13.5,86.6
"679","Stony Brook CDP                                                                       ",13726,24.6,64.5,10.9,92.6
"680","Stony Point CDP                                                                       ",10587,23.3,65.8,10.8,92.1
"681","Stottville CDP                                                                        ",1369,24,58.4,17.6,87.1
"682","Suffern village                                                                       ",11055,19.8,67.4,12.8,86.6
"683","Sylvan Beach village                                                                  ",1119,28.4,59.3,12.2,99.3
"684","Syosset CDP                                                                           ",18967,23.1,64.4,12.5,90.8
"685","Syracuse city                                                                         ",163860,22.6,62.5,14.9,83.3
"686","Tappan CDP                                                                            ",6867,22.1,68.5,9.4,95.6
"687","Tarrytown village                                                                     ",10739,16.9,68.2,14.9,76.8
"688","Terryville CDP                                                                        ",10275,27.7,67,5.3,98
"689","Thiells CDP                                                                           ",5204,27,67.7,5.3,97.6
"690","Thomaston village                                                                     ",2612,19.5,62.7,17.8,86.8
"691","Thornwood CDP                                                                         ",7025,26,62,12,90.3
"692","Ticonderoga village                                                                   ",2770,27,57.5,15.5,89.9
"693","Tillson CDP                                                                           ",1688,27.7,60.9,11.4,94.4
"694","Tivoli village                                                                        ",1035,24.3,64.3,11.3,98.7
"695","Tonawanda city                                                                        ",17284,23.9,61.6,14.5,89.5
"696","Tonawanda CDP                                                                         ",65284,20.1,59.9,20,85.1
"697","Town Line CDP                                                                         ",2721,26.8,64,9.2,97.9
"698","Tribes Hill CDP                                                                       ",1060,23.6,60.7,15.8,90.1
"699","Troy city                                                                             ",54269,21.3,64.7,14,95.6
"700","Trumansburg village                                                                   ",1611,29.1,57.6,13.3,81.6
"701","Tuckahoe village                                                                      ",6302,21.2,64.8,14,84.6
"702","Tupper Lake village                                                                   ",4087,25.9,57.4,16.7,82.9
"703","Unadilla village                                                                      ",1265,26.5,54.2,19.3,82.4
"704","Uniondale CDP                                                                         ",20328,23.2,61.3,15.4,80.7
"705","Union Springs village                                                                 ",1142,26.3,58.6,15.1,88.4
"706","University Gardens CDP                                                                ",4419,20.5,65.6,14,88.5
"707","Upper Brookville village                                                              ",1453,23.6,64.9,11.5,91.4
"708","Upper Nyack village                                                                   ",2084,25.4,61.3,13.2,89.3
"709","Utica city                                                                            ",68637,22.3,58.3,19.4,83.4
"710","Vails Gate CDP                                                                        ",3014,20,64.1,15.9,84.3
"711","Valatie village                                                                       ",1487,22.1,53.7,24.3,79.1
"712","Valley Cottage CDP                                                                    ",9007,22.8,64.4,12.8,85.9
"713","Valley Stream village                                                                 ",33946,21.1,61.8,17.1,87.2
"714","Vernon village                                                                        ",1274,25.4,62.5,12.2,87.6
"715","Victor village                                                                        ",2308,27.2,64.6,8.2,92.9
"716","Village Green CDP                                                                     ",4198,20.5,71.4,8.1,91.8
"717","Village of the Branch village                                                         ",1669,26.1,62.8,11.1,93.4
"718","Viola CDP                                                                             ",4504,33.5,55.6,11,89.7
"719","Voorheesville village                                                                 ",3225,27.2,63.2,9.6,91.4
"720","Wading River CDP                                                                      ",5317,27.6,60.6,11.8,97
"721","Walden village                                                                        ",5836,28.6,59.3,12,86.9
"722","Wallkill CDP                                                                          ",2125,27.7,61.3,11,91.5
"723","Walton village                                                                        ",3326,26.8,55.5,17.7,81
"724","Wantagh CDP                                                                           ",18567,22.8,65.4,11.8,94
"725","Wappingers Falls village                                                              ",4605,22.6,62.2,15.3,90
"726","Warrensburg CDP                                                                       ",3204,25,59.2,15.8,85.8
"727","Warsaw village                                                                        ",3830,25.2,53.4,21.4,75.7
"728","Warwick village                                                                       ",5984,26.7,59.3,14,81.6
"729","Washington Heights CDP                                                                ",1159,22.4,61.9,15.7,87.3
"730","Washingtonville village                                                               ",4906,31.5,61.2,7.3,93.2
"731","Waterford village                                                                     ",2370,24.3,58.4,17.3,86
"732","Waterloo village                                                                      ",5116,25.3,57.6,17.1,86.5
"733","Watermill CDP                                                                         ",1893,21.8,63,15.2,95
"734","Watertown city                                                                        ",29429,26.8,58.3,14.9,82
"735","Waterville village                                                                    ",1664,27.5,53.7,18.8,69.9
"736","Watervliet city                                                                       ",11061,22.7,60.2,17.1,77.5
"737","Watkins Glen village                                                                  ",2207,22.2,57.6,20.2,81.7
"738","Waverly village                                                                       ",4787,24.5,55.7,19.8,78.9
"739","Wayland village                                                                       ",1976,28.4,57,14.6,90.7
"740","Webster village                                                                       ",5464,25.6,62.3,12.1,80.8
"741","Weedsport village                                                                     ",1996,26.1,58.9,15.1,89.5
"742","Wellsville village                                                                    ",5241,24.1,56.3,19.6,85.6
"743","Wesley Hills village                                                                  ",4305,26.7,66.8,6.5,93.3
"744","West Babylon CDP                                                                      ",42410,23.4,65.6,11,89.8
"745","West Bay Shore CDP                                                                    ",4907,21.3,66.7,12.1,93.4
"746","Westbury village                                                                      ",13060,20.5,64.4,15.2,92.2
"747","West Carthage village                                                                 ",2166,29.1,56.7,14.1,88.6
"748","West Elmira CDP                                                                       ",5218,24.3,53.7,22,80.8
"749","West End CDP                                                                          ",1825,20.5,58,21.5,87.5
"750","Westfield village                                                                     ",3451,26.4,54.5,19,79.4
"751","West Glens Falls CDP                                                                  ",5964,26.9,61.3,11.8,89.7
"752","Westhampton CDP                                                                       ",2129,24.6,63.6,11.8,89.9
"753","Westhampton Beach village                                                             ",1571,16.2,62.4,21.5,91.7
"754","West Haverstraw village                                                               ",9183,24.4,63.3,12.3,85.6
"755","West Hempstead CDP                                                                    ",17689,22.8,61.5,15.7,90.4
"756","West Hills CDP                                                                        ",5849,23.2,65.9,10.9,95.3
"757","West Hurley CDP                                                                       ",2252,22.7,64.8,12.5,91.4
"758","West Islip CDP                                                                        ",28419,24.4,65.4,10.2,92.5
"759","Westmere CDP                                                                          ",6750,18.8,65.8,15.4,88.7
"760","West Nyack CDP                                                                        ",3437,24.7,66.7,8.5,95.4
"761","Weston Mills CDP                                                                      ",1750,24.7,60.8,14.5,92
"762","West Point CDP                                                                        ",8024,18.3,81.5,0.2,332.9
"763","West Sand Lake CDP                                                                    ",2251,26.8,64.1,9.1,94.5
"764","West Sayville CDP                                                                     ",4680,26.2,62.5,11.3,91
"765","West Seneca CDP                                                                       ",47866,22,63.1,14.9,90.2
"766","Westvale CDP                                                                          ",5952,21.1,50.1,28.8,79.6
"767","Wheatley Heights CDP                                                                  ",5027,27.5,66.1,6.4,91.1
"768","Whitehall village                                                                     ",3071,27,56.1,16.9,88.2
"769","White Plains city                                                                     ",48718,18.4,66,15.5,83.3
"770","Whitesboro village                                                                    ",4195,23.3,58.7,18,80.4
"771","Whitney Point village                                                                 ",1054,31,55.6,13.4,88.3
"772","Williamsville village                                                                 ",5583,18,54.1,27.9,68.8
"773","Williston Park village                                                                ",7516,21.8,62.5,15.7,89
"774","Wilson village                                                                        ",1307,23.9,59.2,16.8,89.3
"775","Windsor village                                                                       ",1051,30.4,57.4,12.2,85.1
"776","Wolcott village                                                                       ",1544,27.1,57.1,15.8,82.3
"777","Woodbury CDP                                                                          ",8008,21.7,59.7,18.6,77.3
"778","Woodmere CDP                                                                          ",15578,22.5,62.6,14.9,91
"779","Woodsburgh village                                                                    ",1190,27.1,59.2,13.6,82.9
"780","Woodstock CDP                                                                         ",1870,19.5,64,16.5,80.5
"781","Wurtsboro village                                                                     ",1048,29.5,59.9,10.6,85.7
"782","Wyandanch CDP                                                                         ",8950,35.3,58.6,6.1,79.5
"783","Wyantskill CDP                                                                        ",3329,21.9,59.4,18.7,88.9
"784","Yaphank CDP                                                                           ",4637,21.1,67.5,11.4,131.4
"785","Yonkers city                                                                          ",188082,21.5,62,16.4,83.4
"786","Yorkshire CDP                                                                         ",1340,25.7,62.2,12,87.7
"787","Yorktown Heights CDP                                                                  ",7690,25.5,64.7,9.8,93.8
"788","Yorkville village                                                                     ",2972,21.5,57.1,21.4,85.3
"789","Youngstown village                                                                    ",2075,26.2,58.9,14.9,88.9
"790","Zena CDP                                                                              ",1177,26.4,66.4,7.1,92.9
